card_name,cost,civilization,card_type,race,power,rarity,card_set,coll_num,card_text
"Hanusa, Radiance Elemental",7,light,Creature,angel_command,9500,sr,dm-01,S1/S10,■ Double breaker (This creature breaks 2 shields.)
"Urth, Purifying Elemental",6,light,Creature,angel_command,6000,sr,dm-01,S2/S10,"■ Double breaker (This creature breaks 2 shields.)
■ At the end of each of your turns, you may untap this creature."
Aqua Sniper,8,water,Creature,liquid_people,5000,sr,dm-01,S3/S10,"■ When you put this creature into the battle zone, choose up to 2 creatures in the battle zone and return them to their owners' hands."
King Depthcon,7,water,Creature,leviathan,6000,sr,dm-01,S4/S10,"■ Double breaker (This creature breaks 2 shields.)
■ This creature can't be blocked."
"Deathliger, Lion of Chaos",7,darkness,Creature,demon_command,9000,sr,dm-01,S5/S10,■ Double breaker (This creature breaks 2 shields.)
"Zagaan, Knight of Darkness",6,darkness,Creature,demon_command,7000,sr,dm-01,S6/S10,■ Double breaker (This creature breaks 2 shields.)
Astrocomet Dragon,7,fire,Creature,armored_dragon,6000,sr,dm-01,S7/S10,"■ Power attacker +4000 (While attacking, this creature gets +4000 power.)
■ Double breaker (This creature breaks 2 shields.)"
Scarlet Skyterror,8,fire,Creature,armored_wyvern,3000,sr,dm-01,S8/S10,"■ When you put this creature into the battle zone, destroy all creatures that have ""blocker""."
Deathblade Beetle,5,nature,Creature,giant_insect,3000,sr,dm-01,S9/S10,"■ Power attacker +4000 (While attacking, this creature gets +4000 power.)
■ Double breaker (This creature breaks 2 shields.)"
Roaring Great-Horn,7,nature,Creature,horned_beast,8000,sr,dm-01,S10/S10,"■ Power attacker +2000 (While attacking, this creature gets +2000 power.)
■ Double breaker (This creature breaks 2 shields.)"
"Chilias, the Oracle",4,light,Creature,light_bringer,2500,r,dm-01,1/110,"■ When this creature would be destroyed, put it into your hand instead."
"Dia Nork, Moonlight Guardian",4,light,Creature,guardian,5000,r,dm-01,2/110,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ This creature can't attack players."
Emerald Grass,2,light,Creature,starlight_tree,3000,c,dm-01,3/110,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ This creature can't attack players."
"Frei, Vizier of Air",4,light,Creature,initiate,3000,u,dm-01,4/110,"■ At the end of each of your turns, you may untap this creature."
"Gran Gure, Space Guardian",6,light,Creature,guardian,9000,vr,dm-01,5/110,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ This creature can't attack players."
Holy Awe,6,light,Spell,,,r,dm-01,6/110,"■ Shield trigger (When this card is put into your hand from your shield zone, you may play it immediately for no cost.)
■ Tap all your opponent's creatures in the battle zone."
"Iere, Vizier of Bullets",3,light,Creature,initiate,3000,c,dm-01,7/110,
"Iocant, the Oracle",2,light,Creature,light_bringer,2000,u,dm-01,8/110,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ While you have at least 1 Angel Command in the battle zone, this creature gets +2000 power.
■ This creature can't attack players."
"La Ura Giga, Sky Guardian",1,light,Creature,guardian,2000,c,dm-01,9/110,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ This creature can't attack players."
"Lah, Purification Enforcer",5,light,Creature,berserker,5500,r,dm-01,10/110,
Laser Wing,5,light,Spell,,,r,dm-01,11/110,■ Choose up to 2 of your creatures in the battle zone. They can't be blocked this turn.
"Lok, Vizier of Hunting",4,light,Creature,initiate,4000,u,dm-01,12/110,
"Miele, Vizier of Lightning",3,light,Creature,initiate,1000,c,dm-01,13/110,"■ When you put this creature into the battle zone, you may choose one of your opponent's creatures in the battle zone and tap it."
Moonlight Flash,4,light,Spell,,,u,dm-01,14/110,■ Choose up to 2 of your opponent's creatures in the battle zone and tap them.
"Rayla, Truth Enforcer",6,light,Creature,berserker,3000,vr,dm-01,15/110,"■ When you put this creature into the battle zone, search your deck. You may take a spell from your deck, show that spell to your opponent, and put it into your hand. Then shuffle your deck."
"Reusol, the Oracle",2,light,Creature,light_bringer,2000,c,dm-01,16/110,
Ruby Grass,3,light,Creature,starlight_tree,3000,u,dm-01,17/110,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ This creature can't attack players.
■ At the end of each of your turns, you may untap this creature."
Senatine Jade Tree,3,light,Creature,starlight_tree,4000,c,dm-01,18/110,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ This creature can't attack players."
Solar Ray,2,light,Spell,,,c,dm-01,19/110,"■ Shield trigger (When this card is put into your hand from your shield zone, you may play it immediately for no cost.)
■ Choose one of your opponent's creatures in the battle zone and tap it."
Sonic Wing,3,light,Spell,,,c,dm-01,20/110,■ Choose one of your creatures in the battle zone. It can't be blocked this turn.
"Szubs Kin, Twilight Guardian",5,light,Creature,guardian,6000,r,dm-01,21/110,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ This creature can't attack players."
"Toel, Vizier of Hope",5,light,Creature,initiate,2000,u,dm-01,22/110,"■ At the end of each of your turns, you may untap all your creatures in the battle zone."
Aqua Hulcus,3,water,Creature,liquid_people,2000,c,dm-01,23/110,"■ When you put this creature into the battle zone, you may draw a card."
Aqua Knight,5,water,Creature,liquid_people,4000,r,dm-01,24/110,"■ When this creature would be destroyed, return it to your hand instead."
Aqua Soldier,3,water,Creature,liquid_people,1000,u,dm-01,25/110,"■ When this creature would be destroyed, return it to your hand instead."
Aqua Vehicle,2,water,Creature,liquid_people,1000,c,dm-01,26/110,
Brain Serum,4,water,Spell,,,u,dm-01,27/110,"■ Shield trigger (When this card is put into your hand from your shield zone, you may play it immediately for no cost.)
■ Draw up to 2 cards."
Candy Drop,3,water,Creature,cyber_virus,1000,c,dm-01,28/110,■ This creature can't be blocked.
Crystal Memory,4,water,Spell,,,r,dm-01,29/110,"■ Shield trigger (When this card is put into your hand from your shield zone, you may play it immediately for no cost.)
■ Search your deck. You may take a card from your deck and put it into your hand. Then shuffle your deck."
Faerie Child,4,water,Creature,cyber_virus,2000,u,dm-01,30/110,■ This creature can't be blocked.
Hunter Fish,2,water,Creature,fishy,3000,c,dm-01,31/110,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ This creature can't attack."
Illusionary Merfolk,5,water,Creature,gel_fish,4000,u,dm-01,32/110,"■ When you put this creature into the battle zone, if you have a Cyber Lord in the battle zone, draw up to 3 cards."
King Coral,3,water,Creature,leviathan,1000,u,dm-01,33/110,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)"
King Ripped-Hide,7,water,Creature,leviathan,5000,vr,dm-01,34/110,"■ When you put this creature into the battle zone, draw up to 2 cards."
Marine Flower,1,water,Creature,cyber_virus,2000,c,dm-01,35/110,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ This creature can't attack."
Phantom Fish,3,water,Creature,gel_fish,4000,c,dm-01,36/110,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ This creature can't attack."
Revolver Fish,4,water,Creature,gel_fish,5000,u,dm-01,37/110,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ This creature can't attack."
Saucer-Head Shark,5,water,Creature,gel_fish,3000,r,dm-01,38/110,"■ When you put this creature into the battle zone, return all creatures in the battle zone that have power 2000 or less to its owner's hand."
Seamine,6,water,Creature,fishy,4000,vr,dm-01,39/110,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)"
Spiral Gate,2,water,Spell,,,c,dm-01,40/110,"■ Shield trigger (When this card is put into your hand from your shield zone, you may play it immediately for no cost.)
■ Choose a creature in the battle zone and return it to its owner's hand."
Teleportation,5,water,Spell,,,r,dm-01,41/110,■ Choose up to 2 creatures in the battle zone and return them to their owners' hands.
Tropico,5,water,Creature,cyber_lord,3000,r,dm-01,42/110,■ This creature can't be blocked while you have at least 2 other creatures in the battle zone.
Unicorn Fish,4,water,Creature,fishy,1000,r,dm-01,43/110,"■ When you put this creature into the battle zone, you may choose 1 creature in the battle zone and return it to its owner's hand."
Virtual Tripwire,3,water,Spell,,,c,dm-01,44/110,■ Choose one of your opponent's creatures in the battle zone and tap it.
"Black Feather, Shadow of Rage",1,darkness,Creature,ghost,3000,c,dm-01,45/110,"■ When you put this creature into the battle zone, destroy one of your creatures."
Bloody Squito,2,darkness,Creature,brain_jacker,4000,c,dm-01,46/110,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ This creature can't attack.
■ When this creature wins a battle, destroy it."
"Bone Assassin, the Ripper",4,darkness,Creature,living_dead,2000,c,dm-01,47/110,"■ Slayer (When this creature loses a battle, destroy the other creature.)"
Bone Spider,3,darkness,Creature,living_dead,5000,u,dm-01,48/110,"■ When this creature wins a battle, destroy it."
Creeping Plague,1,darkness,Spell,,,r,dm-01,49/110,"■ Whenever any of your creatures becomes blocked this turn, it gets ""slayer"" until the end of the turn. (When a creature that has ""slayer"" loses a battle, destroy the other creature.)"
Dark Clown,4,darkness,Creature,brain_jacker,6000,r,dm-01,50/110,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ This creature can't attack.
■ When this creature wins a battle, destroy it."
"Dark Raven, Shadow of Grief",4,darkness,Creature,ghost,1000,u,dm-01,51/110,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)"
Dark Reversal,2,darkness,Spell,,,u,dm-01,52/110,"■ Shield trigger (When this card is put into your hand from your shield zone, you may play it immediately for no cost.)
■ Return a creature from your graveyard to your hand."
Death Smoke,4,darkness,Spell,,,c,dm-01,53/110,■ Destroy one of your opponent's untapped creatures.
Ghost Touch,2,darkness,Spell,,,c,dm-01,54/110,"■ Shield trigger (When this card is put into your hand from your shield zone, you may play it immediately for no cost.)
■ Your opponent discards a card at random from his hand."
Gigaberos,5,darkness,Creature,chimera,8000,r,dm-01,55/110,"■ When you put this creature into the battle zone, destroy 2 of your creatures or destroy this creature.
■ Double breaker (This creature breaks 2 shields.)"
